kkz;m07_2011
01001 ;13,1 
01002 ;12,8 
01003 ;12,6 
01004 ;12,8 
01051 ;9,4 
01053 ;6,9 
01054 ;7,4 
01055 ;6,9 
01056 ;6,4 
01057 ;6,8 
01058 ;6,4 
01059 ;9,4 
01060 ;5,6 
01061 ;6,8 
01062 ;4,7 
;
02000 ;9,2 
;
03101 ;9,0 
03102 ;10,2 
03103 ;6,6 
03151 ;6,3 
03152 ;7,5 
03153 ;10,6 
03154 ;8,8 
03155 ;8,4 
03156 ;10,2 
03157 ;7,1 
03158 ;7,7 
;
03241 ;9,9 
03251 ;5,0 
03252 ;9,1 
03254 ;9,2 
03255 ;8,7 
03256 ;6,7 
03257 ;8,8 
;
03351 ;9,3 
03352 ;6,6 
03353 ;5,7 
03354 ;11,9 
03355 ;7,2 
03356 ;5,0 
03357 ;5,4 
03358 ;7,5 
03359 ;7,4 
03360 ;8,5 
03361 ;6,0 
;
03401 ;11,6 
03402 ;10,9 
03403 ;9,9 
03404 ;9,3 
03405 ;14,3 
03451 ;5,2 
03452 ;7,9 
03453 ;5,8 
03454 ;4,0 
03455 ;6,7 
03456 ;5,0 
03457 ;7,8 
03458 ;5,4 
03459 ;4,4 
03460 ;4,1 
03461 ;8,3 
03462 ;6,3 
;
04011 ;11,8 
04012 ;18,1 
;
05111 ;10,2 
05112 ;14,5 
05113 ;13,3 
05114 ;11,9 
05116 ;12,8 
05117 ;9,1 
05119 ;13,2 
05120 ;9,4 
05122 ;9,0 
05124 ;12,2 
05154 ;5,8 
05158 ;7,4 
05162 ;7,0 
05166 ;7,7 
05170 ;7,9 
;
05314 ;7,2 
05315 ;10,8 
05316 ;8,7 
05334 ;10,0 
05358 ;9,0 
05362 ;8,6 
05366 ;7,1 
05370 ;8,3 
05374 ;6,8 
05378 ;7,0 
05382 ;6,0 
;
05512 ;9,4 
05513 ;15,9 
05515 ;6,5 
05554 ;4,5 
05558 ;3,5 
05562 ;11,9 
05566 ;5,0 
05570 ;5,8 
;
05711 ;10,1 
05754 ;5,0 
05758 ;6,7 
05762 ;5,8 
05766 ;8,0 
05770 ;6,6 
05774 ;7,3 
;
05911 ;11,1 
05913 ;14,2 
05914 ;11,5 
05915 ;11,3 
05916 ;14,1 
05954 ;8,0 
05958 ;5,3 
05962 ;7,3 
05966 ;4,5 
05970 ;6,0 
05974 ;7,2 
05978 ;10,3 
;
06411 ;6,9 
06412 ;8,6 
06413 ;12,4 
06414 ;8,4 
06431 ;5,4 
06432 ;5,8 
